player,nationality,position,team,age,games,games_starts,minutes,goals,assists,pens_made,xg,xg_assist
Yann Sommer,ch SUI,GK,it Inter,34,7,7,660,0,0,0,0.0,0.0
Florian Sotoca,fr FRA,MF,fr Lens,32,6,6,467,0,1,0,0.5,0.9
Boubakary Soumaré,fr FRA,MF,es Sevilla,24,4,2,216,0,0,0,0.0,0.0
Djibril Sow,ch SUI,MF,es Sevilla,26,6,5,370,0,0,0,0.0,0.0
Çağlar Söyüncü,tr TUR,DF,es Atlético Madrid,27,2,0,59,0,0,0,0.0,0.1
Uroš Spajić,rs SRB,DF,rs Red Star,30,1,1,64,0,0,0,0.0,0.0
Marco Sportiello,it ITA,GK,it Milan,31,1,0,10,0,0,0,0.0,0.0
Marko Stamenic,nz NZL,MF,rs Red Star,21,4,4,296,1,0,0,0.5,0.0
Orri Steinn Óskarsson,is ISL,FW,dk FC Copenhagen,18,6,1,146,0,1,0,0.0,0.5
Calvin Stengs,nl NED,"FW,MF",nl Feyenoord,24,6,6,470,1,1,0,0.4,1.7
Taras Stepanenko,ua UKR,MF,ua Shakhtar,33,6,6,495,0,1,0,0.5,0.1
John Stones,eng ENG,"DF,MF",eng Manchester City,29,6,4,341,0,1,0,0.0,0.1
Luka Sučić,hr CRO,"FW,MF",at RB Salzburg,20,6,4,392,1,0,0,0.3,0.5
Heorhiy Sudakov,ua UKR,MF,ua Shakhtar,20,6,6,540,1,0,0,1.1,0.4
Niklas Süle,de GER,DF,de Dortmund,27,6,4,397,0,0,0,0.0,0.1
Suso,es ESP,MF,es Sevilla,29,2,1,82,0,0,0,0.1,0.0
Mahamadou Susoho,es ESP,MF,eng Manchester City,18,1,0,15,0,0,0,0.0,0.0
Christian Sørensen,dk DEN,DF,dk FC Copenhagen,30,3,0,45,0,0,0,0.0,0.1
Mehdi Taremi,ir IRN,FW,pt Porto,31,7,6,545,2,2,0,2.6,1.0
Matt Targett,eng ENG,DF,eng Newcastle Utd,27,2,0,22,0,0,0,0.0,0.1
Greg Taylor,sct SCO,DF,sct Celtic,25,6,6,540,0,0,0,0.0,0.2
Aurélien Tchouaméni,fr FRA,"MF,DF",es Real Madrid,23,8,7,603,0,0,0,0.2,0.1
Mathys Tel,fr FRA,"FW,MF",de Bayern Munich,18,8,1,145,2,1,0,0.8,0.9
Casper Tengstedt,dk DEN,FW,pt Benfica,23,4,2,137,0,1,0,0.1,0.4
Marc-André ter Stegen,de GER,GK,es Barcelona,31,8,8,720,0,0,0,0.0,0.0
Aleksa Terzić,rs SRB,DF,at RB Salzburg,23,2,2,180,0,0,0,0.0,0.1
Tetê,br BRA,FW,tr Galatasaray,23,5,3,229,1,0,0,0.2,0.1
Jordan Teze,nl NED,DF,nl PSV Eindhoven,23,8,8,720,1,0,0,0.3,0.9
Odin Thiago Holm,no NOR,MF,sct Celtic,20,2,0,55,0,0,0,0.0,0.0
Malick Thiaw,de GER,DF,it Milan,21,5,5,367,0,0,0,0.1,0.0
Adrien Thomasson,fr FRA,MF,fr Lens,29,5,2,224,1,0,0,0.4,0.3
