player,nationality,position,team,age,games,games_starts,minutes,goals,assists,pens_made,xg,xg_assist
Oscar Gloukh,il ISR,"FW,MF",at RB Salzburg,20,8,8,679,0,2,0,0.6,1.2
Serge Gnabry,de GER,FW,de Bayern Munich,29,12,5,552,0,2,0,1.8,1.5
Ben Godfrey,eng ENG,DF,it Atalanta,26,2,0,19,0,0,0,0.0,0.0
Aleksandr Golovin,ru RUS,"FW,MF",fr Monaco,28,9,6,574,0,1,0,0.5,1.2
André Gomes,pt POR,MF,fr Lille,31,2,0,22,0,0,0,0.0,0.0
Angel Gomes,eng ENG,MF,fr Lille,23,4,3,159,1,0,0,0.0,0.3
Marlon Gomes,br BRA,MF,ua Shakhtar,20,7,4,288,1,0,0,0.6,0.0
Joe Gomez,eng ENG,DF,eng Liverpool,27,4,1,122,0,0,0,0.1,0.0
Pedro Gonçalves,pt POR,MF,pt Sporting CP,26,3,2,201,0,2,0,0.7,1.4
Facundo González,uy URU,DF,nl Feyenoord,21,2,0,9,0,0,0,0.0,0.0
Nicolás González,es ESP,MF,eng Manchester City,22,1,1,90,1,0,0,0.9,0.0
Nicolás González,ar ARG,FW,it Juventus,26,6,5,361,1,1,0,1.2,0.4
Jon Gorenc Stanković,si SVN,MF,at Sturm Graz,28,5,4,364,0,0,0,0.0,0.0
Leon Goretzka,de GER,MF,de Bayern Munich,29,12,9,839,1,1,0,1.5,0.8
Lucas Gourna-Douath,fr FRA,MF,at RB Salzburg,20,6,4,300,0,0,0,0.0,0.0
Ryan Gravenberch,nl NED,MF,eng Liverpool,22,9,9,783,0,0,0,0.0,0.7
Jack Grealish,eng ENG,"FW,MF",eng Manchester City,28,6,4,353,1,0,0,0.8,0.5
Leon Grgic,at AUT,FW,at Sturm Graz,18,1,0,1,0,0,0,0.0,0.0
Antoine Griezmann,fr FRA,"FW,MF",es Atlético Madrid,33,10,9,728,6,2,0,3.9,1.6
Álex Grimaldo,es ESP,"DF,FW",de Leverkusen,28,10,10,865,2,1,0,2.0,2.2
Pascal Groß,de GER,"MF,DF",de Dortmund,33,13,10,914,1,2,0,1.8,3.2
Gabriel Gudmundsson,se SWE,DF,fr Lille,25,9,5,487,0,1,0,0.3,0.5
Raphaël Guerreiro,pt POR,"DF,MF",de Bayern Munich,30,9,6,520,1,0,0,0.3,0.7
Daouda Guindo,ml MLI,DF,at RB Salzburg,21,4,1,154,1,0,0,0.0,0.0
Serhou Guirassy,gn GUI,FW,de Dortmund,28,14,12,"1,083",13,4,5,12.3,2.5
Péter Gulácsi,hu HUN,GK,de RB Leipzig,34,6,6,540,0,0,0,0.0,0.0
Arda Güler,tr TUR,"MF,FW",es Real Madrid,19,7,1,147,0,0,0,0.5,1.4
İlkay Gündoğan,de GER,MF,eng Manchester City,33,10,6,523,2,0,0,1.7,0.5
Ivan Guteša,rs SRB,GK,rs Red Star,22,3,3,270,0,0,0,0.0,0.0
Miguel Gutiérrez,es ESP,"MF,DF",es Girona,23,6,6,540,1,0,0,0.5,0.2
Joško Gvardiol,hr CRO,DF,eng Manchester City,22,10,9,814,0,1,0,0.3,0.9
Viktor Gyökeres,se SWE,FW,pt Sporting CP,26,8,6,608,6,1,2,4.5,1.7
Erling Haaland,no NOR,FW,eng Manchester City,24,9,9,769,8,0,2,9.0,0.3
Anis Hadj Moussa,dz ALG,"FW,MF",nl Feyenoord,22,11,8,783,3,0,0,0.7,0.5
Jaouen Hadjam,dz ALG,DF,ch Young Boys,21,6,6,478,0,0,0,0.2,0.2
Amadou Haidara,ml MLI,MF,de RB Leipzig,26,8,8,588,0,0,0,0.2,0.5
Massadio Haïdara,ml MLI,DF,fr Brest,31,8,7,616,0,0,0,0.1,0.4
Achraf Hakimi,ma MAR,DF,fr Paris S-G,25,17,17,"1,540",4,5,0,3.2,4.6
Dávid Hancko,sk SVK,DF,nl Feyenoord,26,12,12,"1,080",1,0,0,1.4,0.2
Lukáš Haraslín,sk SVK,FW,cz Sparta Prague,28,6,4,263,0,0,0,0.3,0.2
Conrad Harder,dk DEN,"FW,MF",pt Sporting CP,19,9,4,326,1,0,0,1.9,0.3
Reo Hatate,jp JPN,MF,sct Celtic,26,10,9,784,1,2,0,1.4,1.4
Kai Havertz,de GER,"FW,MF",eng Arsenal,25,8,6,561,4,1,0,2.6,1.1
Benjamin Henrichs,de GER,"DF,MF",de RB Leipzig,27,6,5,474,0,0,0,0.4,0.1
Pedro Henrique,br BRA,DF,ua Shakhtar,22,6,5,446,0,0,0,0.0,0.0
Mario Hermoso,es ESP,DF,de Leverkusen,29,2,2,127,0,0,0,0.0,0.0
Lucas Hernández,fr FRA,DF,fr Paris S-G,28,5,1,118,0,0,0,0.0,0.0
Theo Hernández,fr FRA,DF,it Milan,26,10,10,860,0,0,0,1.2,0.8
Yangel Herrera,ve VEN,MF,es Girona,26,5,4,341,0,0,0,0.5,0.3
Isak Hien,se SWE,DF,it Atalanta,25,8,8,709,0,1,0,0.7,0.3
Stefan Hierländer,at AUT,MF,at Sturm Graz,33,6,0,35,0,0,0,0.0,0.0
Piero Hincapié,ec ECU,DF,de Leverkusen,22,9,9,772,1,0,0,0.4,0.4
Morten Hjulmand,dk DEN,MF,pt Sporting CP,25,9,9,765,0,0,0,0.2,0.4
Jonas Hofmann,de GER,"MF,FW",de Leverkusen,32,4,1,132,0,1,0,0.0,0.3
Emil Holm,se SWE,DF,it Bologna,24,4,3,231,0,0,0,0.0,0.1
Tomi Horvat,si SVN,"MF,FW",at Sturm Graz,25,7,2,194,0,0,0,0.1,0.3
Arbër Hoxha,al ALB,"DF,MF",hr Dinamo Zagreb,25,5,0,65,0,0,0,0.0,0.0
Lukáš Hrádecký,fi FIN,GK,de Leverkusen,34,4,4,360,0,0,0,0.0,0.0
Yang Hyunjun,kr KOR,FW,sct Celtic,22,6,1,157,0,1,0,0.3,0.9
Arijon Ibrahimović,de GER,FW,de Bayern Munich,18,1,0,3,0,0,0,0.0,0.0
Adam Idah,ie IRL,FW,sct Celtic,23,10,3,341,3,0,0,2.2,0.1
Danylo Ihnatenko,ua UKR,MF,sk Slovan Bratislava,27,5,4,329,0,0,0,0.1,0.0
George Ilenikhena,ng NGA,FW,fr Monaco,17,6,0,113,2,0,0,0.5,0.1
Luka Ilić,rs SRB,"MF,FW",rs Red Star,25,5,0,89,0,0,0,0.1,0.0
Marko Ilić,rs SRB,GK,rs Red Star,26,2,2,180,0,0,0,0.0,0.0
Samuel Iling-Junior,eng ENG,"FW,MF",it Bologna,20,8,3,349,1,0,0,0.4,0.1
Kastriot Imeri,ch SUI,MF,ch Young Boys,24,5,5,305,1,0,0,0.2,0.4
Hwang In-beom,kr KOR,MF,nl Feyenoord,27,7,7,568,0,0,0,0.2,0.6
Gonçalo Inácio,pt POR,DF,pt Sporting CP,22,7,6,486,1,0,0,0.2,0.0
Ismaily,br BRA,DF,fr Lille,34,4,3,226,0,1,0,0.3,0.2
Franco Israel,uy URU,GK,pt Sporting CP,24,8,8,720,0,0,0,0.0,0.0
Hiroki Ito,jp JPN,DF,de Bayern Munich,25,2,0,35,0,0,0,0.0,0.0
Cedric Itten,ch SUI,FW,ch Young Boys,27,7,2,234,0,0,0,0.3,0.3
Mirko Ivanić,me MNE,"MF,FW",rs Red Star,30,5,3,347,1,1,0,1.1,0.8
Luka Ivanušec,hr CRO,"MF,FW",nl Feyenoord,25,4,2,178,0,0,0,0.1,0.1
Leon Jakirovic,hr CRO,DF,hr Dinamo Zagreb,16,1,0,1,0,0,0,0.0,0.0
Ardon Jashari,ch SUI,MF,be Club Brugge,22,11,11,949,0,0,0,0.2,0.7
Seedy Jatta,no NOR,FW,at Sturm Graz,21,8,5,381,0,0,0,0.3,0.2
Gabriel Jesus,br BRA,"FW,MF",eng Arsenal,27,5,3,258,0,1,0,1.4,0.4
Alistair Johnston,ca CAN,DF,sct Celtic,25,10,10,836,0,0,0,0.2,0.1
Max Johnston,sct SCO,DF,at Sturm Graz,20,5,3,348,0,0,0,0.0,0.0
Curtis Jones,eng ENG,MF,eng Liverpool,23,8,4,351,0,2,0,0.4,2.0
Frenkie de Jong,nl NED,MF,es Barcelona,27,13,8,804,0,0,0,1.0,0.2
Luuk de Jong,nl NED,FW,nl PSV Eindhoven,33,12,10,904,2,1,0,3.7,1.5
Jorginho,it ITA,MF,eng Arsenal,32,6,3,324,1,0,1,0.8,0.2
Jota,pt POR,FW,sct Celtic,25,2,1,85,0,0,0,0.1,0.3
Diogo Jota,pt POR,FW,eng Liverpool,27,4,3,235,0,0,0,1.0,0.1
Juanpe,es ESP,DF,es Girona,33,5,4,391,1,1,0,0.1,0.4
Mauro Júnior,br BRA,"DF,MF",nl PSV Eindhoven,25,10,9,828,0,0,0,0.4,0.3
Vinicius Júnior,br BRA,FW,es Real Madrid,24,12,12,"1,103",8,2,1,6.7,3.8
Ferran Jutglà,es ESP,FW,be Club Brugge,25,12,11,847,2,1,0,1.4,0.3
Issa Kaboré,bf BFA,DF,pt Benfica,23,2,1,99,0,0,0,0.0,0.0
Lukas Kačavenda,hr CRO,"MF,FW",hr Dinamo Zagreb,21,6,2,217,0,0,0,0.0,0.2
Kaan Kairinen,fi FIN,MF,cz Sparta Prague,25,8,8,712,2,0,0,0.6,0.3
Pierre Kalulu,fr FRA,DF,it Juventus,24,8,8,645,0,0,0,0.1,0.0
Boubacar Kamara,fr FRA,"MF,DF",eng Aston Villa,24,10,8,702,0,0,0,0.1,0.5
Kevin Kampl,si SVN,MF,de RB Leipzig,33,5,2,263,0,0,0,0.0,0.4
Harry Kane,eng ENG,FW,de Bayern Munich,31,13,13,"1,119",11,2,4,10.3,1.6
Lee Kang-in,kr KOR,"FW,MF",fr Paris S-G,23,11,4,468,0,0,0,0.4,1.6
Guélor Kanga,ga GAB,"MF,FW",rs Red Star,33,5,1,143,1,0,0,0.1,0.0
Atakan Karazor,,MF,de Stuttgart,27,7,7,553,0,0,0,0.1,0.4
Rick Karsdorp,nl NED,DF,nl PSV Eindhoven,29,7,4,333,0,0,0,0.0,0.1
Guram Kashia,ge GEO,DF,sk Slovan Bratislava,37,8,8,708,0,0,0,0.4,0.0
Aleksandar Katai,rs SRB,FW,rs Red Star,33,2,0,26,0,0,0,0.0,0.0
Silas Katompa,cd COD,FW,rs Red Star,25,8,8,618,2,0,0,1.2,0.6
Takumu Kawamura,jp JPN,MF,at RB Salzburg,24,3,0,52,0,0,0,0.0,0.0
Thilo Kehrer,de GER,DF,fr Monaco,27,10,10,855,1,1,0,0.9,0.0
Yannik Keitel,de GER,MF,de Stuttgart,24,4,1,145,1,0,0,0.1,0.0
Caoimhín Kelleher,ie IRL,GK,eng Liverpool,25,4,4,360,0,0,0,0.0,0.0
Marvin Keller,ch SUI,GK,ch Young Boys,22,4,4,360,0,0,0,0.0,0.0
Lloyd Kelly,eng ENG,DF,it Juventus,25,2,2,210,0,0,0,0.1,0.0
Kevin,br BRA,"MF,FW",ua Shakhtar,21,7,5,459,2,0,0,1.1,0.5
Daniil Khudiakov,ru RUS,GK,at Sturm Graz,20,2,2,180,0,0,0,0.0,0.0
Abdukodir Khusanov,uz UZB,DF,eng Manchester City,20,1,1,90,0,0,0,0.0,0.0
Joshua Kimmich,de GER,"MF,DF",de Bayern Munich,29,14,14,"1,260",0,4,0,0.9,3.9
Presnel Kimpembe,fr FRA,DF,fr Paris S-G,28,1,0,19,0,0,0,0.0,0.0
Otar Kiteishvili,ge GEO,"MF,FW",at Sturm Graz,28,7,7,615,1,0,0,0.5,0.4
Jakub Kiwior,pl POL,DF,eng Arsenal,24,10,8,772,0,0,0,0.1,0.8
Maurits Kjærgaard,dk DEN,MF,at RB Salzburg,21,1,1,90,0,0,0,0.0,0.3
Lukas Klostermann,de GER,DF,de RB Leipzig,28,3,0,44,0,0,0,0.0,0.0
Gregor Kobel,ch SUI,GK,de Dortmund,26,13,13,"1,170",0,0,0,0.0,0.0
Philipp Köhn,ch SUI,GK,fr Monaco,26,2,2,180,0,0,0,0.0,0.0
Orkun Kökçü,tr TUR,MF,pt Benfica,23,12,12,987,4,0,1,2.1,1.4
Koke,es ESP,MF,es Atlético Madrid,32,7,4,403,0,1,0,0.0,0.6
Sead Kolašinac,ba BIH,DF,it Atalanta,31,9,9,633,1,1,0,1.1,0.6
Randal Kolo Muani,fr FRA,FW,it Juventus,25,2,2,165,0,0,0,0.9,0.0
Randal Kolo Muani,fr FRA,FW,fr Paris S-G,25,4,0,107,0,0,0,0.9,0.3
Ibrahima Konaté,fr FRA,DF,eng Liverpool,25,7,7,647,1,0,0,0.4,0.0
Karim Konaté,ci CIV,FW,at RB Salzburg,20,5,4,318,2,0,0,2.8,0.1
Yukhym Konoplia,ua UKR,DF,ua Shakhtar,24,7,5,465,0,2,0,0.2,0.6
Ezri Konsa,eng ENG,DF,eng Aston Villa,26,11,11,990,1,0,0,0.8,0.2
Teun Koopmeiners,nl NED,MF,it Juventus,26,9,7,654,0,0,0,1.2,1.6
Odilon Kossounou,ci CIV,DF,it Atalanta,23,4,2,267,0,2,0,0.2,0.3
Jules Koundé,fr FRA,DF,es Barcelona,25,13,13,"1,104",0,3,0,0.6,2.2
Moussa Kounfolo Yeo,ml MLI,"FW,MF",at RB Salzburg,20,6,5,340,0,0,0,0.3,0.1
Mateo Kovačić,hr CRO,MF,eng Manchester City,30,6,3,308,1,0,0,0.3,0.1
Matej Kovar,cz CZE,GK,de Leverkusen,24,6,6,540,0,0,0,0.0,0.0
Ermal Krasniqi,xk KVX,FW,cz Sparta Prague,25,7,1,160,0,0,0,0.5,0.1
Ladislav Krejčí,cz CZE,DF,es Girona,25,7,7,630,0,0,0,0.1,0.0
Rade Krunić,ba BIH,MF,rs Red Star,30,8,8,664,1,2,0,0.5,0.6
Dmytro Kryskiv,ua UKR,MF,ua Shakhtar,23,8,7,672,0,0,0,0.1,0.7
Juraj Kucka,sk SVK,MF,sk Slovan Bratislava,37,3,3,249,0,0,0,0.0,0.1
Nicolas-Gerrit Kühn,de GER,FW,sct Celtic,24,10,10,784,3,1,0,1.7,2.8
Wessel Kuhn,nl NED,FW,nl PSV Eindhoven,17,1,0,17,0,0,0,0.0,0.0
Sandro Kulenović,hr CRO,FW,hr Dinamo Zagreb,24,7,5,496,3,0,0,1.8,0.0
Khvicha Kvaratskhelia,ge GEO,FW,fr Paris S-G,23,9,8,733,3,2,0,2.0,1.5
Younes Lachaab,fr FRA,MF,fr Lille,19,1,0,1,0,0,0,0.0,0.0
Qazim Laçi,al ALB,MF,cz Sparta Prague,28,8,7,601,1,0,0,0.9,0.3
Konrad Laimer,at AUT,DF,de Bayern Munich,27,11,10,779,1,1,0,0.4,1.5
Kenny Lala,mg MAD,DF,fr Brest,32,8,8,720,0,0,0,0.2,1.3
Mohamed Lamine Bayo,gn GUI,FW,fr Lille,26,3,2,137,0,0,0,0.1,0.1
Tygo Land,nl NED,MF,nl PSV Eindhoven,18,1,1,90,0,0,0,0.0,0.0
Noa Lang,nl NED,FW,nl PSV Eindhoven,25,10,8,682,2,2,1,2.2,1.1
Sandro Lauper,ch SUI,"MF,DF",ch Young Boys,27,7,6,518,0,0,0,0.4,0.0
Dimitri Lavalée,be BEL,DF,at Sturm Graz,27,7,7,626,0,0,0,0.0,0.5
Julien Le Cardinal,fr FRA,DF,fr Brest,26,4,3,256,1,0,0,0.6,0.0
Robin Le Normand,es ESP,DF,es Atlético Madrid,27,5,2,231,0,0,0,0.0,0.0
Rafael Leão,pt POR,FW,it Milan,25,10,9,793,3,1,0,2.2,1.5
Richy Ledezma,us USA,DF,nl PSV Eindhoven,23,11,6,574,0,0,0,0.0,0.5
Pierre Lees-Melou,fr FRA,MF,fr Brest,31,5,4,373,1,0,0,0.5,0.3
Thomas Lemar,fr FRA,FW,es Atlético Madrid,28,1,0,10,0,0,0,0.2,0.0
Clément Lenglet,fr FRA,DF,es Atlético Madrid,29,7,7,630,0,0,0,0.3,0.0
Robert Lewandowski,pl POL,FW,es Barcelona,35,13,12,975,11,0,3,10.4,1.5
Jamie Leweling,de GER,"FW,MF",de Stuttgart,23,5,5,409,2,1,0,1.8,1.1
Rico Lewis,eng ENG,"DF,MF",eng Manchester City,19,9,6,640,0,1,0,0.6,2.5
Myles Lewis-Skelly,eng ENG,DF,eng Arsenal,17,10,7,565,0,1,0,0.1,0.6
Samuel Lino,br BRA,"MF,DF",es Atlético Madrid,24,10,4,412,0,3,0,1.1,1.3
Marcos Llorente,es ESP,"DF,MF",es Atlético Madrid,29,8,8,692,2,4,0,0.4,2.3
Manuel Locatelli,it ITA,"MF,DF",it Juventus,26,9,7,670,0,0,0,0.1,0.6
Ruben Loftus-Cheek,eng ENG,MF,it Milan,28,6,4,281,0,0,0,0.3,0.0
Ademola Lookman,ng NGA,"FW,MF",it Atalanta,26,7,5,479,5,1,0,5.2,2.8
David López,es ESP,DF,es Girona,34,5,4,368,1,0,0,0.4,0.0
Fermin López,es ESP,"MF,FW",es Barcelona,21,11,4,453,1,3,0,1.8,1.9
Pau López,es ESP,GK,es Girona,29,1,1,90,0,0,0,0.0,0.0
Jordan Lotomba,ch SUI,DF,nl Feyenoord,25,5,4,280,0,0,0,0.5,0.1
Hirving Lozano,mx MEX,"FW,MF",nl PSV Eindhoven,29,2,0,35,0,0,0,0.2,0.0
Jhon Lucumí,co COL,DF,it Bologna,26,7,6,530,1,0,0,0.6,0.0
Florentino Luís,pt POR,MF,pt Benfica,24,9,9,713,0,0,0,0.0,0.1
Douglas Luiz,br BRA,MF,it Juventus,26,6,3,307,0,0,0,0.3,0.1
Castello Lukeba,fr FRA,DF,de RB Leipzig,21,5,4,379,0,0,0,0.0,0.0
Andriy Lunin,ua UKR,GK,es Real Madrid,25,2,2,180,0,0,0,0.0,0.0
Charalampos Lykogiannis,gr GRE,DF,it Bologna,30,5,4,369,0,1,0,0.1,1.5
Ian Maatsen,nl NED,"DF,FW",eng Aston Villa,22,10,3,380,1,0,0,0.6,0.2
Alexis Mac Allister,ar ARG,MF,eng Liverpool,25,8,7,674,2,0,0,1.4,2.3
Daizen Maeda,jp JPN,FW,sct Celtic,26,9,9,758,4,0,0,3.0,0.7
Gabriel Magalhães,br BRA,DF,eng Arsenal,26,9,9,803,1,0,0,1.3,0.0
Soungoutou Magassa,fr FRA,MF,fr Monaco,20,7,2,287,1,0,0,0.2,0.1
Hugo Magnetti,fr FRA,MF,fr Brest,26,10,8,696,1,0,0,0.8,0.2
Mike Maignan,fr FRA,GK,it Milan,29,10,10,860,0,0,0,0.0,0.0
Radosław Majecki,pl POL,GK,fr Monaco,24,8,8,720,0,0,0,0.0,0.0
Róbert Mak,sk SVK,"FW,MF",sk Slovan Bratislava,33,7,2,201,0,0,0,0.0,0.0
Andrija Maksimović,rs SRB,"MF,FW",rs Red Star,17,7,6,414,0,0,0,0.4,1.1
Tyrell Malacia,nl NED,DF,nl PSV Eindhoven,24,3,2,223,0,0,0,0.0,0.5
Jarzinho Malanga,de GER,"FW,MF",de Stuttgart,18,3,0,39,0,0,0,0.0,0.0
Donyell Malen,nl NED,FW,de Dortmund,25,5,3,237,2,1,0,1.6,0.9
Darian Males,ch SUI,"FW,MF",ch Young Boys,23,7,3,283,0,0,0,0.7,0.1
Arjan Malic,ba BIH,DF,at Sturm Graz,18,3,2,184,1,0,0,1.0,0.0
Reinildo Mandava,mz MOZ,DF,es Atlético Madrid,30,6,3,367,0,0,0,0.0,0.0
Aïssa Mandi,dz ALG,DF,fr Lille,32,5,4,319,0,0,0,0.0,0.1
Nino Marcelli,sk SVK,"FW,MF",sk Slovan Bratislava,19,8,3,331,1,0,0,0.6,0.2
José María Giménez,uy URU,DF,es Atlético Madrid,29,8,8,750,1,0,0,0.4,0.0
Omar Marmoush,eg EGY,FW,eng Manchester City,25,2,1,97,0,0,0,0.2,0.0
Marquinhos,br BRA,DF,fr Paris S-G,30,16,16,"1,439",0,0,0,0.7,0.5
Gerard Martín,es ESP,DF,es Barcelona,22,8,5,446,0,3,0,0.0,1.9
Iván Martín,es ESP,MF,es Girona,25,7,5,330,0,0,0,1.1,0.0
Jonas Martin,fr FRA,MF,fr Brest,34,5,0,81,0,0,0,0.8,0.0
Gabriel Martinelli,br BRA,"FW,MF",eng Arsenal,23,13,11,934,2,1,0,4.2,2.1
Arnau Martinez,es ESP,"DF,MF",es Girona,21,5,5,414,0,0,0,0.1,0.3
Emiliano Martínez,ar ARG,GK,eng Aston Villa,31,12,12,"1,080",0,0,0,0.0,0.0
Iñigo Martínez,es ESP,DF,es Barcelona,33,11,11,954,2,1,0,0.7,1.0
Josep Martinez,es ESP,GK,it Inter,26,1,1,90,0,0,0,0.0,0.0
Lautaro Martínez,ar ARG,FW,it Inter,26,14,10,853,9,0,1,4.8,0.9
Eliot Matazo,be BEL,MF,fr Monaco,22,3,0,27,0,0,0,0.3,0.0
Mykola Matviyenko,ua UKR,DF,ua Shakhtar,28,8,8,720,0,0,0,0.3,0.0
Christian Mawissa,fr FRA,DF,fr Monaco,19,6,4,294,0,0,0,0.0,0.0
Senny Mayulu,fr FRA,MF,fr Paris S-G,18,4,0,50,2,0,0,0.3,0.0
Samuel Mbangula,be BEL,FW,it Juventus,20,7,2,226,1,0,0,0.8,0.6
Ethan Mbappé,fr FRA,"FW,MF",fr Lille,17,2,1,78,0,0,0,0.1,0.0
Kylian Mbappé,fr FRA,FW,es Real Madrid,25,14,13,"1,127",7,1,0,9.2,1.0
Nathanael Mbuku,cd COD,"FW,MF",hr Dinamo Zagreb,22,2,0,19,0,0,0,0.0,0.0
James Mcatee,eng ENG,"MF,FW",eng Manchester City,21,5,0,110,1,0,0,0.3,0.1
James McConnell,eng ENG,MF,eng Liverpool,19,1,1,90,0,0,0,0.0,0.0
Luke McCowan,sct SCO,MF,sct Celtic,26,3,0,51,0,0,0,0.0,0.0
John McGinn,sct SCO,"MF,FW",eng Aston Villa,29,10,9,734,3,2,0,1.6,0.5
Callum McGregor,sct SCO,MF,sct Celtic,31,10,10,900,0,0,0,0.2,0.5
Weston McKennie,us USA,"MF,DF",it Juventus,25,9,6,555,3,0,0,1.3,0.8
Brandon Mechele,be BEL,DF,be Club Brugge,31,12,12,"1,080",0,0,0,0.2,0.1
Jurij Medvedev,,"MF,DF",sk Slovan Bratislava,28,4,2,192,0,1,0,0.0,0.0
Bjorn Meijer,nl NED,"DF,FW",be Club Brugge,21,2,0,16,0,0,0,0.0,0.0
John Mellberg,se SWE,DF,at RB Salzburg,18,1,1,45,0,0,0,0.0,0.0
Nuno Mendes,pt POR,DF,fr Paris S-G,22,16,16,"1,446",4,1,0,2.2,1.2
Ferland Mendy,fr FRA,DF,es Real Madrid,29,11,11,885,0,1,0,0.5,0.2
Mikel Merino,es ESP,"MF,FW",eng Arsenal,28,12,9,817,2,3,0,1.1,1.3
Idjessi Metsoko,fr FRA,FW,sk Slovan Bratislava,22,7,1,158,1,0,0,0.4,0.1
Thomas Meunier,be BEL,DF,fr Lille,32,9,7,616,0,1,0,0.5,0.5
Alexander Meyer,de GER,GK,de Dortmund,33,1,1,90,0,0,0,0.0,0.0
Lucas Michal,fr FRA,MF,fr Monaco,19,3,0,39,0,0,0,0.0,0.0
Simon Mignolet,be BEL,GK,be Club Brugge,36,12,12,"1,080",0,0,0,0.0,0.0
Antoni Milambo,nl NED,MF,nl Feyenoord,19,9,9,762,3,1,0,1.2,0.8
Éder Militão,br BRA,DF,es Real Madrid,26,4,3,281,0,0,0,0.2,0.2
Enzo Millot,fr FRA,"MF,FW",de Stuttgart,22,8,8,688,2,3,0,2.7,2.8
Milson,ao ANG,FW,rs Red Star,24,5,2,171,2,0,0,0.8,0.1
Ognjen Mimovic,rs SRB,DF,rs Red Star,19,5,5,370,0,0,0,0.2,0.1
Kim Min-jae,kr KOR,DF,de Bayern Munich,27,13,13,"1,066",1,0,0,0.6,0.2
Takumi Minamino,jp JPN,"MF,FW",fr Monaco,29,9,6,569,3,1,0,2.3,1.0
Tyrone Mings,eng ENG,DF,eng Aston Villa,31,4,4,310,0,0,0,0.1,0.1
Kim Minsu,kr KOR,MF,es Girona,18,1,0,13,0,0,0,0.0,0.0
Bojan Miovski,mk MKD,FW,es Girona,25,4,3,273,0,0,0,1.6,0.0
Juan Miranda,es ESP,DF,it Bologna,24,5,3,305,0,0,0,0.1,0.0
Josip Mišić,hr CRO,MF,hr Dinamo Zagreb,30,6,5,482,0,1,0,0.1,0.7
Jeyland Mitchell,cr CRC,DF,nl Feyenoord,19,7,1,185,0,0,0,0.0,0.0
Maximilian Mittelstädt,de GER,DF,de Stuttgart,27,8,8,704,0,2,0,0.6,1.1
Henrikh Mkhitaryan,am ARM,MF,it Inter,35,13,10,854,0,0,0,1.1,1.1
Samy Mmaee,ma MAR,DF,hr Dinamo Zagreb,27,3,3,270,0,0,0,0.0,0.0
Jakub Moder,pl POL,MF,nl Feyenoord,25,4,4,360,1,0,1,1.1,0.4
Luka Modrić,hr CRO,MF,es Real Madrid,38,14,7,647,0,3,0,0.2,1.5
Nahuel Molina,ar ARG,DF,es Atlético Madrid,26,8,3,429,1,0,0,0.4,0.1
Joel Monteiro,ch SUI,"FW,MF",ch Young Boys,24,8,7,624,0,0,0,0.7,0.1
Álvaro Morata,es ESP,FW,it Milan,31,7,6,391,1,1,0,1.2,0.5
Leandro Morgalla,de GER,DF,at RB Salzburg,19,3,1,83,0,0,0,0.0,0.0
Hidemasa Morita,jp JPN,MF,pt Sporting CP,29,7,4,372,0,0,0,0.1,0.0
Nikola Moro,hr CRO,MF,it Bologna,26,7,4,381,0,0,0,0.1,0.7
Tyler Morton,eng ENG,MF,eng Liverpool,21,1,0,39,0,0,0,0.0,0.0
Ngal'Ayel Mukau,cd COD,MF,fr Lille,19,8,6,563,2,0,0,0.8,0.1
Nordi Mukiele,fr FRA,DF,de Leverkusen,26,5,5,358,1,1,0,0.4,0.1
Thomas Müller,de GER,"MF,FW",de Bayern Munich,34,12,4,371,3,1,0,2.2,1.1
Dane Murray,sct SCO,DF,sct Celtic,21,1,0,8,0,0,0,0.0,0.0
Yunus Musah,us USA,"FW,MF",it Milan,21,7,5,412,0,0,0,0.2,0.3
Jamal Musiala,de GER,MF,de Bayern Munich,21,12,9,864,3,3,0,3.8,4.0
Almoatasem Al Musrati,ly LBY,MF,fr Monaco,28,1,1,51,0,0,0,0.0,0.0
Alen Mustafić,ba BIH,MF,sk Slovan Bratislava,25,4,0,35,0,0,0,0.0,0.1
Chris Nadje,fr FRA,"MF,FW",nl Feyenoord,22,3,0,90,0,0,0,0.1,0.0
Adamo Nagalo,bf BFA,DF,nl PSV Eindhoven,21,5,1,146,0,0,0,0.1,0.0
Amara Nallo,eng ENG,DF,eng Liverpool,17,1,0,4,0,0,0,0.0,0.0
Cherif Ndiaye,sn SEN,FW,rs Red Star,28,8,7,566,2,1,1,3.0,0.7
Dan Ndoye,ch SUI,"FW,MF",it Bologna,23,8,7,616,0,0,0,1.3,0.9
Kosta Nedeljković,rs SRB,"FW,DF",eng Aston Villa,18,2,0,31,0,0,0,0.0,0.0
Neto,br BRA,GK,eng Arsenal,35,1,1,90,0,0,0,0.0,0.0
Manuel Neuer,de GER,GK,de Bayern Munich,38,10,10,822,0,0,0,0.0,0.0
João Neves,pt POR,MF,fr Paris S-G,19,17,16,"1,431",1,1,0,2.1,1.7
Ivan Nevistić,hr CRO,GK,hr Dinamo Zagreb,26,5,5,450,0,0,0,0.0,0.0
Newerton,br BRA,"FW,MF",ua Shakhtar,19,4,0,88,0,0,0,0.0,0.0
Abdoulaye Niakhate Ndiaye,sn SEN,DF,fr Brest,22,2,2,180,0,0,0,0.0,0.0
Casper Nielsen,dk DEN,"MF,FW",be Club Brugge,30,6,1,143,1,0,0,0.4,0.0
